,revision_id,article_quality_est,article_name,country,geographic region,population,_merge
488,395521877.0,Stub,Julius Gregr,Czech Republic,,,left_only
489,395526568.0,Stub,Edvard Gregr,Czech Republic,,,left_only
490,672862914.0,Stub,Miroslav Poche,Czech Republic,,,left_only
491,673008587.0,Stub,Vojtěch Mynář,Czech Republic,,,left_only
492,704424304.0,Stub,Jan Malypetr,Czech Republic,,,left_only
493,705080136.0,Start,Emanuel Moravec,Czech Republic,,,left_only
494,707597623.0,Start,Vladimír Hučín,Czech Republic,,,left_only
495,709676840.0,Start,Pavla Topolánková,Czech Republic,,,left_only
496,711675761.0,Stub,Josef Barák,Czech Republic,,,left_only
497,712426548.0,Stub,Antonín Švehla,Czech Republic,,,left_only
498,713698544.0,Stub,Jakob Marzel Sternberger,Czech Republic,,,left_only
499,714174726.0,Stub,Alois Anderka,Czech Republic,,,left_only
500,715467197.0,Start,Ivan Dejmal,Czech Republic,,,left_only
501,715640391.0,Stub,Franz Macoun,Czech Republic,,,left_only
502,716711851.0,Stub,Karel Urbánek,Czech Republic,,,left_only
503,717429365.0,Start,Vladimír Klokočka,Czech Republic,,,left_only
504,720027362.0,Stub,Jaromír Jermář,Czech Republic,,,left_only
505,721736524.0,Start,Artur London,Czech Republic,,,left_only
506,722937211.0,Stub,František Sláma (politician),Czech Republic,,,left_only
507,723151837.0,Stub,Jan Kubice,Czech Republic,,,left_only
508,723207013.0,Stub,Kamil Jankovský,Czech Republic,,,left_only
509,724691268.0,Stub,Václav Vacek,Czech Republic,,,left_only
510,725362978.0,C,Čestmír Císař,Czech Republic,,,left_only
511,726666131.0,Stub,Luca Rovinalti,Czech Republic,,,left_only
512,726762194.0,Start,Kamil Krofta,Czech Republic,,,left_only
513,728506208.0,Stub,Milan Štěch,Czech Republic,,,left_only
514,729912438.0,Stub,Antonín Janoušek,Czech Republic,,,left_only
515,730146355.0,Stub,Bedřich Geminder,Czech Republic,,,left_only
516,735174171.0,Start,Karel Domin,Czech Republic,,,left_only
517,737562321.0,Start,Hubert Ripka,Czech Republic,,,left_only
518,741588720.0,Stub,Tomáš Eduard Šilinger,Czech Republic,,,left_only
519,741798984.0,Stub,Petr Janyška,Czech Republic,,,left_only
520,743423675.0,Stub,Jana Juřenčáková,Czech Republic,,,left_only
521,744448745.0,Stub,Jaromír Nečas,Czech Republic,,,left_only
522,744612257.0,Start,Siegfried Taub,Czech Republic,,,left_only
523,746707985.0,Stub,Záviš Kalandra,Czech Republic,,,left_only
524,749575931.0,Start,Alois Rašín,Czech Republic,,,left_only
525,749945936.0,Start,Bedřich Reicin,Czech Republic,,,left_only
526,751718674.0,Stub,Bernd Richter,Czech Republic,,,left_only
527,753045804.0,Stub,Kamil Kalina,Czech Republic,,,left_only
528,755428089.0,Stub,Richard Sacher,Czech Republic,,,left_only
529,756317863.0,Start,Václav Fischer,Czech Republic,,,left_only
530,757336278.0,Stub,Božena Viková-Kunětická,Czech Republic,,,left_only
531,758942647.0,Stub,Mikuláš of Hus,Czech Republic,,,left_only
532,759446334.0,GA,Gertruda Sekaninová-Čakrtová,Czech Republic,,,left_only
533,765838180.0,Stub,Petr Mlsna,Czech Republic,,,left_only
534,768047769.0,C,Antonín Cyril Stojan,Czech Republic,,,left_only
535,768676716.0,Stub,František Kubka,Czech Republic,,,left_only
536,773853256.0,Start,Josef Pfitzner,Czech Republic,,,left_only
537,774595725.0,C,Vladimír Franz,Czech Republic,,,left_only
538,776095794.0,Stub,Jan Stocklassa,Czech Republic,,,left_only
539,776197284.0,Start,Jaroslav Krejčí,Czech Republic,,,left_only
540,776338134.0,Stub,Libuše Benešová,Czech Republic,,,left_only
541,776338195.0,Start,Daniela Filipiová,Czech Republic,,,left_only
542,776487173.0,Start,Moses Porges von Portheim,Czech Republic,,,left_only
543,776508129.0,Start,Jan Kasl,Czech Republic,,,left_only
544,776509425.0,Stub,Jiří Kittner,Czech Republic,,,left_only
545,776513404.0,Stub,Miloslav Vlček,Czech Republic,,,left_only
546,776513552.0,Start,Ivo Svoboda (politician),Czech Republic,,,left_only
547,776513802.0,Stub,Hana Orgoníková,Czech Republic,,,left_only
548,776514175.0,Start,Pavel Dostál,Czech Republic,,,left_only
549,776751749.0,Stub,Jiří Lobkowicz,Czech Republic,,,left_only
550,777876483.0,Stub,Bohuslav Kokotek,Czech Republic,,,left_only
551,778095433.0,Stub,Alena Hanáková,Czech Republic,,,left_only
552,779417455.0,Stub,Irena Kočí,Czech Republic,,,left_only
553,779417738.0,Stub,Martin Netolický,Czech Republic,,,left_only
554,779418369.0,Start,David Rath,Czech Republic,,,left_only
555,779498276.0,Stub,Eva Nováková,Czech Republic,,,left_only
556,779500408.0,Stub,Vojtěch Adam,Czech Republic,,,left_only
557,779500749.0,Stub,Vlastimil Balín,Czech Republic,,,left_only
558,779500957.0,Stub,Jiří Dolejš,Czech Republic,,,left_only
559,779501010.0,Stub,Zuzka Bebarová-Rujbrová,Czech Republic,,,left_only
560,779501096.0,Start,Marie Stiborová,Czech Republic,,,left_only
561,779501161.0,Stub,Jiří Svoboda (politician),Czech Republic,,,left_only
562,779501194.0,Stub,Miloslava Vostrá,Czech Republic,,,left_only
563,779501654.0,Stub,Jiří Čeřovský,Czech Republic,,,left_only
564,779501783.0,Stub,Jan Korger,Czech Republic,,,left_only
565,779581127.0,C,Kateřina Jacques,Czech Republic,,,left_only
566,779839245.0,Stub,Tomáš Chalupa,Czech Republic,,,left_only
567,779839319.0,Stub,Pavel Blažek,Czech Republic,,,left_only
568,779839400.0,Stub,Aleš Řebíček,Czech Republic,,,left_only
569,779839455.0,Start,Ivan Langer,Czech Republic,,,left_only
570,779839492.0,Start,Jan Stráský,Czech Republic,,,left_only
571,779842639.0,Stub,Jan Chvojka,Czech Republic,,,left_only
572,779847262.0,Stub,Marie Benešová,Czech Republic,,,left_only
573,779847492.0,Stub,Juraj Chmiel,Czech Republic,,,left_only
574,779847531.0,Stub,Daniela Kovářová,Czech Republic,,,left_only
575,779847687.0,Stub,Rostislav Vondruška,Czech Republic,,,left_only
576,779847799.0,Start,Martin Štěpánek (actor),Czech Republic,,,left_only
577,779847837.0,Stub,Helena Třeštíková,Czech Republic,,,left_only
578,779847883.0,Stub,Milena Vicenová,Czech Republic,,,left_only
579,779848743.0,Stub,Jaroslav Bašta,Czech Republic,,,left_only
580,779849059.0,Stub,Josef Lux,Czech Republic,,,left_only
581,779849258.0,Stub,Miroslav Macek,Czech Republic,,,left_only
582,779849694.0,Stub,Ladislav Miko,Czech Republic,,,left_only
583,779849767.0,Stub,Džamila Stehlíková,Czech Republic,,,left_only
584,780051829.0,Stub,Jozef Moravčík,Czech Republic,,,left_only
585,780321961.0,Stub,Milan Uhde,Czech Republic,,,left_only
586,780534080.0,Stub,František Pitra,Czech Republic,,,left_only
587,780534267.0,Stub,Oldřich Černík,Czech Republic,,,left_only
588,780868492.0,Start,Otakar Motejl,Czech Republic,,,left_only
589,780887131.0,Stub,Ludwig Czech,Czech Republic,,,left_only
590,780921783.0,Start,Rudolf Beran,Czech Republic,,,left_only
591,782058966.0,Start,Victor Adler,Czech Republic,,,left_only
592,782384016.0,Stub,Emil Beier,Czech Republic,,,left_only
593,783065752.0,Stub,Bruno Kafka,Czech Republic,,,left_only
594,783711789.0,Start,Lucie Talmanová,Czech Republic,,,left_only
595,783737915.0,Stub,Martin Mejstřík,Czech Republic,,,left_only
596,784145485.0,Start,Vlastimil Tusar,Czech Republic,,,left_only
597,784826685.0,Start,Petr Bendl,Czech Republic,,,left_only
598,784826720.0,Start,Petr Gandalovič,Czech Republic,,,left_only
599,784968648.0,Start,Tomáš Vandas,Czech Republic,,,left_only
600,785085345.0,Stub,Robert Mayr-Harting,Czech Republic,,,left_only
601,785407597.0,C,Karel Havlíček Borovský,Czech Republic,,,left_only
602,786162238.0,Start,Jan Černý,Czech Republic,,,left_only
603,786399604.0,Stub,Josef Frank (politician),Czech Republic,,,left_only
604,786612217.0,Start,Philip Kinsky of Wchinitz and Tettau,Czech Republic,,,left_only
605,787952395.0,Stub,Luboš Dobrovský,Czech Republic,,,left_only
606,787952868.0,Stub,Bedřich Moldan,Czech Republic,,,left_only
607,788015952.0,Start,Martin Palouš,Czech Republic,,,left_only
608,788121309.0,Stub,Hermann Zwierzina,Czech Republic,,,left_only
609,788178766.0,Stub,Eduard Zeman,Czech Republic,,,left_only
610,788410657.0,Start,Richard Bienert,Czech Republic,,,left_only
611,789102318.0,Start,Václav Hampl,Czech Republic,,,left_only
612,789546047.0,Stub,Miroslav Grebeníček,Czech Republic,,,left_only
613,789546066.0,Stub,Vlasta Štěpová,Czech Republic,,,left_only
614,789546079.0,Start,Egon Lánský,Czech Republic,,,left_only
