,revision_id,article_quality_est,article_name,country,geographic region,population
0,355319463.0,Stub,Bir I of Kanem,Chad,MIDDLE AFRICA,16877000.0
1,498683267.0,Stub,Abdullah II of Kanem,Chad,MIDDLE AFRICA,16877000.0
2,565745353.0,Stub,Salmama II of Kanem,Chad,MIDDLE AFRICA,16877000.0
3,565745365.0,Stub,Kuri I of Kanem,Chad,MIDDLE AFRICA,16877000.0
4,565745375.0,Stub,Mohammed I of Kanem,Chad,MIDDLE AFRICA,16877000.0
5,669719757.0,Stub,Kuri II of Kanem,Chad,MIDDLE AFRICA,16877000.0
6,670893206.0,Stub,Bir II of Kanem,Chad,MIDDLE AFRICA,16877000.0
7,693055898.0,Stub,Mahamat Hissene,Chad,MIDDLE AFRICA,16877000.0
8,705432607.0,Stub,Othman I,Chad,MIDDLE AFRICA,16877000.0
9,707593108.0,Stub,Alphonse Kotiga,Chad,MIDDLE AFRICA,16877000.0
10,708346649.0,Start,Oueddei Kichidemi,Chad,MIDDLE AFRICA,16877000.0
11,710675092.0,Stub,Dunama I,Chad,MIDDLE AFRICA,16877000.0
12,711388267.0,Stub,Ahmad (Kanem-Bornu king),Chad,MIDDLE AFRICA,16877000.0
13,712971263.0,Stub,Djibrine Kerallah,Chad,MIDDLE AFRICA,16877000.0
14,712971315.0,Stub,Maurice Ngangtar,Chad,MIDDLE AFRICA,16877000.0
15,712971738.0,Stub,Idriss Miskine,Chad,MIDDLE AFRICA,16877000.0
16,716886170.0,Stub,Laoukein Kourayo Médard,Chad,MIDDLE AFRICA,16877000.0
17,716886788.0,Stub,Nadji Madou,Chad,MIDDLE AFRICA,16877000.0
18,716891799.0,Start,Noël Milarew Odingar,Chad,MIDDLE AFRICA,16877000.0
19,717733209.0,Stub,Yaya Dillo Djérou,Chad,MIDDLE AFRICA,16877000.0
20,719821590.0,Start,Acheikh Ibn-Oumar,Chad,MIDDLE AFRICA,16877000.0
21,720066754.0,Stub,Quatre Sou Quatre,Chad,MIDDLE AFRICA,16877000.0
22,722563340.0,Stub,Ali Gazi,Chad,MIDDLE AFRICA,16877000.0
23,725132042.0,Stub,Mahamat Djarma Khatir,Chad,MIDDLE AFRICA,16877000.0
24,731749611.0,Stub,Dunama IX Lefiami,Chad,MIDDLE AFRICA,16877000.0
25,736550266.0,Stub,Dawud of Kanem,Chad,MIDDLE AFRICA,16877000.0
26,738855197.0,Start,Ahmed Koulamallah,Chad,MIDDLE AFRICA,16877000.0
27,741369486.0,C,Abbo Nassour,Chad,MIDDLE AFRICA,16877000.0
28,742213176.0,Stub,Abdel Kader Baba-Laddé,Chad,MIDDLE AFRICA,16877000.0
29,747271475.0,Stub,Hummay,Chad,MIDDLE AFRICA,16877000.0
30,751304544.0,C,Ngarlejy Yorongar,Chad,MIDDLE AFRICA,16877000.0
31,751380073.0,Stub,Saleh Kezabo,Chad,MIDDLE AFRICA,16877000.0
